scenario_id,device_a_coordinates,device_b_coordinates,link_distance_m,noise_dbm,noise_floor_dbm,rssi_dbm,snr_db,tx_power_dbm,channel_bandwidth_mhz,channel_utilization_pct,available_channels_mhz,spectral_scan_dbm,fresnel_clear_pct,weather_temp_c,weather_humidity_pct,weather_condition,image_obstruction_detected,image_obstruction_type,environment_type,area_density,recommended_channel_mhz,expected_throughput_mbps
0,"[35.224651499279496, 35.489783707606954, 129.8864460300038]","[35.105400052130946, 35.561984031007256, 493.103047704773]",14795.478534408972,-91.97565727841881,-97.70381418179804,-100.25172879502935,-5.209917546618669,24.02649947180472,160,44.149041254675645,"[4905, 5015, 5020, 5030, 5095, 5100, 5175, 5255, 5330, 5335, 5340, 5355, 5385, 5440, 5470, 5650, 5790, 5870, 5875, 5930, 5935, 5980, 6010, 6090]","{""4905"": -91.42681965190714, ""5015"": -92.37928733318077, ""5020"": -91.20035807427294, ""5030"": -89.88734609681195, ""5095"": -92.52312094350899, ""5100"": -92.52309631684776, ""5175"": -89.80307165816289, ""5255"": -91.02073878769463, ""5330"": -92.87610246032641, ""5335"": -91.35805081604504, ""5340"": -92.86701742064268, ""5355"": -92.87048551177936, ""5385"": -91.80894747407494, ""5440"": -95.04181124841068, ""5470"": -94.75926763019353, ""5650"": -93.01532217528545, ""5790"": -93.69113756192561, ""5870"": -91.70051988253107, ""5875"": -93.53392699470581, ""5930"": -94.29034643342692, ""5935"": -89.97341772804165, ""5980"": -92.51055533215379, ""6010"": -92.0705985743921, ""6090"": -94.30901316074417}",68.74551899214413,-3.5995306864106937,51.64413647639528,Snow,False,None,Urban,Low,5440,0.8392512547182491
1,"[34.37827463901553, 35.24965232570642, 830.4543579652031]","[34.251914698439066, 35.18760581012855, 567.6326205475268]",15162.160543774226,-75.34957846328896,-82.19212023141014,-149.28444252665184,-71.62044723829166,27.329673335105394,160,68.34537661087022,"[4990, 5105, 5115, 5165, 5210, 5240, 5245, 5350, 5365, 5370, 5385, 5480, 5490, 5580, 5610, 5675, 5710, 5715, 5725, 5755, 5770, 5780, 5795, 5830, 5965, 6080, 6095]","{""4990"": -75.5410641893283, ""5105"": -74.55810621797573, ""5115"": -76.45098046867398, ""5165"": -74.16094307502202, ""5210"": -75.62544813741873, ""5240"": -75.16203072723044, ""5245"": -75.62705002088462, ""5350"": -71.94607282577712, ""5365"": -74.74473593964743, ""5370"": -76.31105649597437, ""5385"": -73.49067273438574, ""5480"": -76.55575557749705, ""5490"": -74.41119471003339, ""5580"": -77.66399528836018, ""5610"": -76.71676917588817, ""5675"": -74.42919824873684, ""5710"": -73.61679023254742, ""5715"": -74.46743768075557, ""5725"": -74.89796252612288, ""5755"": -75.17614564592446, ""5770"": -76.94227308809167, ""5780"": -75.80425641513258, ""5795"": -75.4154482589802, ""5830"": -73.13880676321216, ""5965"": -74.20906266818784, ""6080"": -77.36905033558463, ""6095"": -74.23836414844834}",17.978584937618045,28.1148763021014,63.30141089425715,Rain,True,Building,Urban,High,5580,0.25349795056404145
2,"[33.68714421589231, 35.06420048780807, 287.3304780128783]","[33.617466478685024, 34.97749534088397, 848.9041943298737]",11155.11599697914,-112.02562676804914,-113.14266932425319,-90.39649849572871,20.603632408753327,24.899779641832133,80,17.51705880756388,"[4900, 4910, 4960, 4980, 5015, 5040, 5045, 5075, 5095, 5100, 5180, 5220, 5240, 5275, 5335, 5360, 5385, 5390, 5410, 5440, 5445, 5455, 5480, 5495, 5530, 5550, 5575, 5585, 5605, 5645, 5660, 5700, 5720, 5770, 5820, 5860, 5865, 5880, 5910, 5945, 5950, 6000, 6010, 6020, 6035, 6040, 6045]","{""4900"": -110.31892804027255, ""4910"": -110.75668762010702, ""4960"": -108.82379018638677, ""4980"": -108.19480533590415, ""5015"": -108.34438444097378, ""5040"": -111.00013090448203, ""5045"": -110.2051231834249, ""5075"": -109.24440947254273, ""5095"": -108.27798692896454, ""5100"": -110.46006597641602, ""5180"": -110.01979308464381, ""5220"": -111.14266932425319, ""5240"": -111.14266932425319, ""5275"": -108.52251588605678, ""5335"": -107.70694457679184, ""5360"": -109.84931980201858, ""5385"": -108.23600527281005, ""5390"": -109.19885058207663, ""5410"": -110.70898425155576, ""5440"": -109.19921121138546, ""5445"": -107.43424976994913, ""5455"": -109.79504367831301, ""5480"": -107.39433913592707, ""5495"": -111.14266932425319, ""5530"": -108.50845086308524, ""5550"": -109.61073401729082, ""5575"": -110.18981564534688, ""5585"": -109.60366345484482, ""5605"": -111.14266932425319, ""5645"": -110.07081245140435, ""5660"": -109.20563576238047, ""5700"": -107.5244635525358, ""5720"": -110.51870994705855, ""5770"": -110.95404502398786, ""5820"": -110.49394018502488, ""5860"": -108.36820144309497, ""5865"": -109.24817795515855, ""5880"": -110.53594492529864, ""5910"": -108.97140346997804, ""5945"": -109.59568829562602, ""5950"": -108.28833713384874, ""6000"": -110.79438426046411, ""6010"": -110.23279783954473, ""6020"": -110.32946684934632, ""6035"": -111.14266932425319, ""6040"": -109.29712420405122, ""6045"": -109.34972171137825}",90.93447851590996,25.80561726885936,43.600841059885845,Storm,False,None,Rural,Low,5040,199.92806725474568
3,"[35.28588659715619, 36.01536334920865, 100.23768640394596]","[35.323476655226116, 36.11786415366039, 459.3582793699826]",10197.44189135544,-96.90381932224567,-100.81266498647724,-95.55931225629844,3.213185865763279,12.237354506417901,80,27.040287218639357,"[4970, 4985, 5000, 5005, 5060, 5110, 5170, 5205, 5235, 5440, 5505, 5520, 5575, 5580, 5590, 5600, 5625, 5675, 5740, 5780, 5830, 5835, 5865, 5870, 5880, 5940, 6020, 6030, 6100]","{""4970"": -96.6417718240224, ""4985"": -97.00132270904882, ""5000"": -98.77249812206172, ""5005"": -97.28040999313413, ""5060"": -97.16351378377625, ""5110"": -97.85285791281852, ""5170"": -96.89137057648512, ""5205"": -96.04336572376428, ""5235"": -93.8201631571703, ""5440"": -96.38757528973834, ""5505"": -96.26311642290194, ""5520"": -96.76111088263535, ""5575"": -98.81266498647724, ""5580"": -96.68921282215992, ""5590"": -96.55909669407455, ""5600"": -92.95457884025816, ""5625"": -96.93798345615778, ""5675"": -96.19712099548568, ""5740"": -96.70150966354396, ""5780"": -98.4024590654154, ""5830"": -94.93520778721357, ""5835"": -95.52154245995594, ""5865"": -95.46289408842152, ""5870"": -98.01352319117821, ""5880"": -94.54525054258195, ""5940"": -98.75221860317451, ""6020"": -95.76915636828569, ""6030"": -93.36375857027113, ""6100"": -98.13524649668213}",74.66584665657942,30.838007603532112,31.46294514122261,Cloudy,False,None,Rural,High,5000,3.4335920804956803
4,"[35.98544806998268, 36.29975611527891, 397.09957510348113]","[35.990720822293355, 36.18605737403939, 206.10411664324383]",10246.510375229698,-100.59523024226958,-102.42676451275881,-86.26038628025651,14.166378232502296,28.108400260122558,80,17.289917271871737,"[5065, 5170, 5200, 5255, 5505, 5520, 5555, 5590, 5630, 5635, 5755, 5825, 6025, 6095]","{""5065"": -99.89301772541323, ""5170"": -98.89409408337761, ""5200"": -99.79878461218337, ""5255"": -100.42676451275881, ""5505"": -98.94072666880002, ""5520"": -100.42676451275881, ""5555"": -98.3331824850563, ""5590"": -100.42270748235977, ""5630"": -96.71866952348276, ""5635"": -100.21845106951342, ""5755"": -99.52666340531758, ""5825"": -97.82329530495457, ""6025"": -100.42676451275881, ""6095"": -98.70238122910287}",85.59540400436228,21.03431155395055,21.577569500529417,Rain,True,Billboard,Rural,Medium,5255,49.98335067657932
5,"[33.57122974308563, 35.19386162845765, 390.7908082537079]","[33.548303329991604, 35.18396902886865, 657.5228852665663]",2709.0912041114957,-105.4944527254301,-107.01612399295658,-74.19110838520898,30.825015607747602,18.972270956662637,160,17.091384716252485,"[4915, 4960, 4995, 5015, 5025, 5215, 5255, 5465, 5490, 5590, 5600, 5730, 5860, 5930, 5970, 5985, 5995, 6000, 6015, 6080, 6085]","{""4915"": -101.68809908423273, ""4960"": -105.01612399295658, ""4995"": -103.37186242785792, ""5015"": -103.25898902428375, ""5025"": -102.47607890799041, ""5215"": -105.01612399295658, ""5255"": -105.01612399295658, ""5465"": -102.86590086723103, ""5490"": -103.20333620580661, ""5590"": -103.27307394013756, ""5600"": -103.12914090141092, ""5730"": -104.66885029802411, ""5860"": -103.30043266991487, ""5930"": -103.20920450570836, ""5970"": -104.72034034269593, ""5985"": -100.85015144893924, ""5995"": -102.9380638342887, ""6000"": -105.01612399295658, ""6015"": -102.66398280270563, ""6080"": -105.01612399295658, ""6085"": -102.4681863100427}",67.12144359269547,25.370448310864266,69.00916161993436,Storm,False,None,Rural,Medium,4960,1297.534480140314
6,"[34.44407525391312, 36.72930078806043, 812.686364631941]","[34.343466390333575, 36.57994740156585, 354.4274730410928]",17690.440672986693,-105.76877549275471,-108.14243809671123,-89.63065993182549,15.365106047679248,29.374187299383177,20,29.721194934175674,"[4950, 4960, 4970, 4985, 5000, 5050, 5100, 5135, 5200, 5215, 5415, 5435, 5510, 5540, 5550, 5575, 5625, 5640, 5645, 5660, 5690, 5760, 5985, 5990, 6000, 6025, 6030, 6045, 6075, 6100]","{""4950"": -102.02684913346607, ""4960"": -104.99576597950474, ""4970"": -102.3196783081107, ""4985"": -103.14557111157242, ""5000"": -102.53165226198544, ""5050"": -100.91955302799626, ""5100"": -104.13282467598148, ""5135"": -104.89534674851342, ""5200"": -105.09901414641546, ""5215"": -104.98845792942534, ""5415"": -103.88039506609833, ""5435"": -103.25301453975221, ""5510"": -103.34970630298214, ""5540"": -102.52396762842314, ""5550"": -103.74523966416032, ""5575"": -101.5844413862412, ""5625"": -104.1617277518341, ""5640"": -99.68448875209275, ""5645"": -102.82624148032967, ""5660"": -105.0504788366016, ""5690"": -105.37108124906885, ""5760"": -103.0410338791124, ""5985"": -104.09993667996595, ""5990"": -102.69374176083903, ""6000"": -103.05488606511686, ""6025"": -103.87398587096249, ""6030"": -105.03493307907978, ""6045"": -106.03701333900598, ""6075"": -104.43451493007771, ""6100"": -102.48014431049197}",90.56768610954131,27.73980066920764,41.393692171019026,Fog,False,None,Rural,Medium,4960,16.501980234046048
7,"[33.61277759827061, 36.43238360157883, 218.6239275911822]","[33.58151335230799, 36.48389066846682, 273.49738641989217]",5902.86821638487,-107.41563684866809,-109.1208713468044,-86.98744978168274,20.133421565121665,15.304008295008027,80,10.23469321456474,"[5100, 5210, 5260, 5285, 5370, 5460, 5575, 5595, 5680, 5735, 5800, 5930, 5965, 6025]","{""5100"": -105.98095527344393, ""5210"": -107.1208713468044, ""5260"": -106.04232450086245, ""5285"": -105.72411982004597, ""5370"": -107.1208713468044, ""5460"": -106.07150823072094, ""5575"": -106.21478281197022, ""5595"": -107.1208713468044, ""5680"": -105.76541484911681, ""5735"": -105.46091910008687, ""5800"": -104.67751902487632, ""5930"": -104.72139281158687, ""5965"": -107.1208713468044, ""6025"": -107.1208713468044}",65.32604099094863,38.9795115099067,89.67637487791356,Rain,False,None,Rural,Medium,5210,182.82198087446926
8,"[33.31075950575463, 36.756253929947185, 241.69699973097926]","[33.427673317856346, 36.828978935141485, 144.12587924861646]",14649.768338629729,-99.926121286265,-101.93509130282415,-99.17578572455125,-1.6573254508487167,28.16318092437144,20,44.69836063659967,"[4900, 4955, 5065, 5105, 5235, 5250, 5325, 5440, 5465, 5605, 5710, 5715, 5845, 5885, 5960]","{""4900"": -95.58666955108319, ""4955"": -95.58854352552785, ""5065"": -95.5866509224371, ""5105"": -90.5801252159141, ""5235"": -95.50288668585642, ""5250"": -94.65587399162527, ""5325"": -94.92821980665637, ""5440"": -95.38213557493748, ""5465"": -96.8321263188567, ""5605"": -95.22076862115627, ""5710"": -97.51846027370253, ""5715"": -96.71445036200619, ""5845"": -97.08726777363982, ""5885"": -96.23641124281669, ""5960"": -92.88723460188591}",56.19785217800991,28.7277727955235,65.36223702726679,Rain,False,None,Rural,High,5710,0.25479683101024686
9,"[33.2257315802213, 36.766212786600285, 814.0160715461044]","[33.23940866698295, 36.86659129256609, 526.3460620083656]",9459.193449613034,-91.6333674184378,-93.31397972515583,-88.45486116178859,2.8358828399446736,14.990594784458489,20,35.30166890387737,"[4930, 5035, 5095, 5100, 5105, 5125, 5200, 5215, 5240, 5325, 5420, 5425, 5615, 5690, 5755, 5795, 5840, 5855, 5895, 5900, 5905, 5920, 5925, 5935, 6005, 6010, 6015, 6025, 6030, 6035, 6040, 6090]","{""4930"": -91.29074400173326, ""5035"": -87.46045592728387, ""5095"": -90.90892001963012, ""5100"": -89.19774401152979, ""5105"": -86.8564203173946, ""5125"": -88.39342618420245, ""5200"": -90.10646337973961, ""5215"": -89.5628017767356, ""5240"": -87.47044958944363, ""5325"": -89.58539616042135, ""5420"": -88.16515832847269, ""5425"": -88.42148845298992, ""5615"": -89.46724673425437, ""5690"": -85.27393007885766, ""5755"": -87.53896767936862, ""5795"": -91.31397972515583, ""5840"": -88.2101647406915, ""5855"": -89.48252590999823, ""5895"": -87.21119621065131, ""5900"": -89.6786273204947, ""5905"": -88.66195087504599, ""5920"": -87.73236529437496, ""5925"": -87.19121342159046, ""5935"": -90.2902908234293, ""6005"": -88.99159806660707, ""6010"": -89.20226417958708, ""6015"": -89.46984006170621, ""6025"": -85.841664852424, ""6030"": -87.8823736464042, ""6035"": -90.38117214434821, ""6040"": -87.11305329226347, ""6090"": -85.30661191732669}",74.58606061309024,-3.0340436660636816,52.23400346605788,Cloudy,False,None,Urban,Low,4930,0.781432318128561
